Tonnes Co2e,country_full,country,sector,subsector,start,end
,Aruba,ABW,agriculture,cropland fires,2020-01-01,2021-01-01
,Aruba,ABW,agriculture,enteric fermentation,2020-01-01,2021-01-01
,Aruba,ABW,agriculture,managed soils,2020-01-01,2021-01-01
,Aruba,ABW,agriculture,manure management,2020-01-01,2021-01-01
0,Aruba,ABW,agriculture,rice cultivation,2020-01-01,2021-01-01
13300,Aruba,ABW,buildings,cooking,2020-01-01,2021-01-01
0,Aruba,ABW,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
129383,Aruba,ABW,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Aruba,ABW,extraction,bauxite mining,2020-01-01,2021-01-01
,Aruba,ABW,extraction,coal mining,2020-01-01,2021-01-01
0,Aruba,ABW,extraction,copper mining,2020-01-01,2021-01-01
0,Aruba,ABW,extraction,iron mining,2020-01-01,2021-01-01
0,Aruba,ABW,extraction,rock quarry,2020-01-01,2021-01-01
0,Aruba,ABW,extraction,sand quarry,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,aluminum,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,cement production,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,glass production,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,lime production,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,nitric acid production,2020-01-01,2021-01-01
61851,Aruba,ABW,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Aruba,ABW,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Aruba,ABW,manufacturing,pulp paper,2020-01-01,2021-01-01
,Aruba,ABW,manufacturing,steel,2020-01-01,2021-01-01
0,Aruba,ABW,maritime,shipping,2020-01-01,2021-01-01
0,Aruba,ABW,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Aruba,ABW,oil and gas,oil refining,2020-01-01,2021-01-01
61,Aruba,ABW,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
699000,Aruba,ABW,power,electricity generation,2020-01-01,2021-01-01
0,Aruba,ABW,power,other energy use,2020-01-01,2021-01-01
168033,Aruba,ABW,transport,aviation,2020-01-01,2021-01-01
18921,Aruba,ABW,transport,other transportation,2020-01-01,2021-01-01
0,Aruba,ABW,transport,railways,2020-01-01,2021-01-01
316952,Aruba,ABW,transport,roads,2020-01-01,2021-01-01
0,Aruba,ABW,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Aruba,ABW,waste,open burning waste,2020-01-01,2021-01-01
13748,Aruba,ABW,waste,solid waste disposal,2020-01-01,2021-01-01
14560,Aruba,ABW,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
156917,Afghanistan,AFG,agriculture,cropland fires,2020-01-01,2021-01-01
10910376,Afghanistan,AFG,agriculture,enteric fermentation,2020-01-01,2021-01-01
3011407,Afghanistan,AFG,agriculture,managed soils,2020-01-01,2021-01-01
828337,Afghanistan,AFG,agriculture,manure management,2020-01-01,2021-01-01
499912,Afghanistan,AFG,agriculture,rice cultivation,2020-01-01,2021-01-01
316000,Afghanistan,AFG,buildings,cooking,2020-01-01,2021-01-01
0,Afghanistan,AFG,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
398200,Afghanistan,AFG,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Afghanistan,AFG,extraction,bauxite mining,2020-01-01,2021-01-01
,Afghanistan,AFG,extraction,coal mining,2020-01-01,2021-01-01
0,Afghanistan,AFG,extraction,copper mining,2020-01-01,2021-01-01
0,Afghanistan,AFG,extraction,iron mining,2020-01-01,2021-01-01
777,Afghanistan,AFG,extraction,rock quarry,2020-01-01,2021-01-01
353,Afghanistan,AFG,extraction,sand quarry,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,aluminum,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,cement production,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,glass production,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,lime production,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,nitric acid production,2020-01-01,2021-01-01
1822167,Afghanistan,AFG,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Afghanistan,AFG,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Afghanistan,AFG,manufacturing,pulp paper,2020-01-01,2021-01-01
,Afghanistan,AFG,manufacturing,steel,2020-01-01,2021-01-01
0,Afghanistan,AFG,maritime,shipping,2020-01-01,2021-01-01
,Afghanistan,AFG,oil and gas,oil and gas production,2020-01-01,2021-01-01
39436,Afghanistan,AFG,oil and gas,oil refining,2020-01-01,2021-01-01
483410,Afghanistan,AFG,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
70000,Afghanistan,AFG,power,electricity generation,2020-01-01,2021-01-01
3672644,Afghanistan,AFG,power,other energy use,2020-01-01,2021-01-01
216165,Afghanistan,AFG,transport,aviation,2020-01-01,2021-01-01
112127,Afghanistan,AFG,transport,other transportation,2020-01-01,2021-01-01
0,Afghanistan,AFG,transport,railways,2020-01-01,2021-01-01
2104920,Afghanistan,AFG,transport,roads,2020-01-01,2021-01-01
0,Afghanistan,AFG,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
722400,Afghanistan,AFG,waste,open burning waste,2020-01-01,2021-01-01
649600,Afghanistan,AFG,waste,solid waste disposal,2020-01-01,2021-01-01
4452000,Afghanistan,AFG,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
6484930,Angola,AGO,agriculture,cropland fires,2020-01-01,2021-01-01
5539408,Angola,AGO,agriculture,enteric fermentation,2020-01-01,2021-01-01
3158048,Angola,AGO,agriculture,managed soils,2020-01-01,2021-01-01
771074,Angola,AGO,agriculture,manure management,2020-01-01,2021-01-01
66360,Angola,AGO,agriculture,rice cultivation,2020-01-01,2021-01-01
13200,Angola,AGO,buildings,cooking,2020-01-01,2021-01-01
0,Angola,AGO,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
4843436,Angola,AGO,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Angola,AGO,extraction,bauxite mining,2020-01-01,2021-01-01
,Angola,AGO,extraction,coal mining,2020-01-01,2021-01-01
0,Angola,AGO,extraction,copper mining,2020-01-01,2021-01-01
0,Angola,AGO,extraction,iron mining,2020-01-01,2021-01-01
7003,Angola,AGO,extraction,rock quarry,2020-01-01,2021-01-01
522,Angola,AGO,extraction,sand quarry,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,aluminum,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,cement production,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,glass production,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,lime production,2020-01-01,2021-01-01
,Angola,AGO,manufacturing,nitric acid production,2020-01-01,2021-01-01
3951706,Angola,AGO,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Angola,AGO,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Angola,AGO,manufacturing,pulp paper,2020-01-01,2021-01-01
21931,Angola,AGO,manufacturing,steel,2020-01-01,2021-01-01
0,Angola,AGO,maritime,shipping,2020-01-01,2021-01-01
12710062,Angola,AGO,oil and gas,oil and gas production,2020-01-01,2021-01-01
381972,Angola,AGO,oil and gas,oil refining,2020-01-01,2021-01-01
3052000,Angola,AGO,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
2562000,Angola,AGO,power,electricity generation,2020-01-01,2021-01-01
1614572,Angola,AGO,power,other energy use,2020-01-01,2021-01-01
219386,Angola,AGO,transport,aviation,2020-01-01,2021-01-01
0,Angola,AGO,transport,other transportation,2020-01-01,2021-01-01
0,Angola,AGO,transport,railways,2020-01-01,2021-01-01
6538840,Angola,AGO,transport,roads,2020-01-01,2021-01-01
0,Angola,AGO,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
280000,Angola,AGO,waste,open burning waste,2020-01-01,2021-01-01
1559600,Angola,AGO,waste,solid waste disposal,2020-01-01,2021-01-01
4228000,Angola,AGO,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
,Anguilla,AIA,agriculture,cropland fires,2020-01-01,2021-01-01
,Anguilla,AIA,agriculture,enteric fermentation,2020-01-01,2021-01-01
,Anguilla,AIA,agriculture,managed soils,2020-01-01,2021-01-01
,Anguilla,AIA,agriculture,manure management,2020-01-01,2021-01-01
0,Anguilla,AIA,agriculture,rice cultivation,2020-01-01,2021-01-01
1,Anguilla,AIA,buildings,cooking,2020-01-01,2021-01-01
0,Anguilla,AIA,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
14,Anguilla,AIA,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Anguilla,AIA,extraction,bauxite mining,2020-01-01,2021-01-01
,Anguilla,AIA,extraction,coal mining,2020-01-01,2021-01-01
0,Anguilla,AIA,extraction,copper mining,2020-01-01,2021-01-01
0,Anguilla,AIA,extraction,iron mining,2020-01-01,2021-01-01
0,Anguilla,AIA,extraction,rock quarry,2020-01-01,2021-01-01
0,Anguilla,AIA,extraction,sand quarry,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,aluminum,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,cement production,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,glass production,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,lime production,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,nitric acid production,2020-01-01,2021-01-01
1212,Anguilla,AIA,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Anguilla,AIA,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Anguilla,AIA,manufacturing,pulp paper,2020-01-01,2021-01-01
,Anguilla,AIA,manufacturing,steel,2020-01-01,2021-01-01
0,Anguilla,AIA,maritime,shipping,2020-01-01,2021-01-01
0,Anguilla,AIA,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Anguilla,AIA,oil and gas,oil refining,2020-01-01,2021-01-01
0,Anguilla,AIA,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
94000,Anguilla,AIA,power,electricity generation,2020-01-01,2021-01-01
0,Anguilla,AIA,power,other energy use,2020-01-01,2021-01-01
788,Anguilla,AIA,transport,aviation,2020-01-01,2021-01-01
0,Anguilla,AIA,transport,other transportation,2020-01-01,2021-01-01
0,Anguilla,AIA,transport,railways,2020-01-01,2021-01-01
26077,Anguilla,AIA,transport,roads,2020-01-01,2021-01-01
0,Anguilla,AIA,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Anguilla,AIA,waste,open burning waste,2020-01-01,2021-01-01
2237,Anguilla,AIA,waste,solid waste disposal,2020-01-01,2021-01-01
1974,Anguilla,AIA,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,cropland fires,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,enteric fermentation,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,managed soils,2020-01-01,2021-01-01
,Åland Islands,ALA,agriculture,manure management,2020-01-01,2021-01-01
0,Åland Islands,ALA,agriculture,rice cultivation,2020-01-01,2021-01-01
