"","country code","country name","emissions.agriculture","emissions.buildings","emissions.extraction","emissions.manufacturing","emissions.maritime","emissions.oil and gas","emissions.power","emissions.transport","emissions.waste","emissions.total","GDP"
"1","ABW","Aruba",0,142683,0,61851,0,61,699000,503906,28308,1435809,2496648044.69274
"2","AFG","Afghanistan",15406949,714200,1130,1822167,0,522846,3742644,2433212,5824000,30467148,20116137325.8206
"3","AGO","Angola",16019820,4856636,7525,3973637,0,16144034,4176572,6758226,6067600,58004050,53619071176.139
"4","ALB","Albania",2899067,723815,11434,2465018,30560,65166,0,2039538,470010,8704608,15131866270.5936
"5","AND","Andorra",0,0,0,0,0,0,21000,0,0,21000,2891001149.3611
"6","ARE","United Arab Emirates",1952655,932653,119524,82332009,134440,74389570,84635680,47904341,7495600,299896472,358868765174.924
"7","ARG","Argentina",135914453,37100480,109653,37875603,240162,54519217,49118064,44347871,16517400,375742903,389591035520.675
"8","ARM","Armenia",1578690,1951572,105082,454580,0,0,1277000,1887809,443800,7698533,12641209802.112
"9","ASM","American Samoa",0,0,0,353,0,0,138000,5195,10604,154152,7.09e+08
"10","ATG","Antigua and Barbuda",19536,88431,51,38824,10338235,0,275000,288564,49280,11097921,1370281481.48148
"11","AUS","Australia",93785962,43380686,8292742,45058599,752974,129382650,180107320,115295903,13944420,630001256,1327836171068.51
"12","AUT","Austria",7093716,10952267,65771,17576600,0,2566065,12342280,21271638,2814753,74683090,433258467676.515
"13","AZE","Azerbaijan",7001079,7389624,3361,3179417,399843,14026938,14702000,6955811,3720080,57378153,4.2693e+10
"14","BDI","Burundi",6242375,669279,801,135285,0,392000,79000,130620,1719480,9368840,2780510624.64184
"15","BEL","Belgium",9278618,29607597,42958,25873959,3040244,7543470,17205520,27759752,4440910,124793028,521676942134.632
"16","BEN","Benin",5726903,711837,1470,1170073,0,1327200,153233,6830284,2464354,18385354,15651545331.5404
"17","BFA","Burkina Faso",22648610,1913108,186,815149,0,1036000,860000,1811827,4076800,33161680,17933606353.1775
"18","BGD","Bangladesh",134689818,17961720,76398,26279409,875132,6818050,41623240,12005376,97692000,338021143,373902134700.41
"19","BGR","Bulgaria",5745275,4169890,73032,8706112,107201,2767888,18849764,9681135,4830224,54930521,69889347433.4324
"20","BHR","Bahrain",72994,275711,0,5478661,57497,10211411,20961760,4317051,996800,42371885,34723357446.8085
"21","BHS","Bahamas",20499,364956,2425,157187,39562422,294,1578000,1024308,326836,43036927,9699500000
"22","BIH","Bosnia and Herzegovina",2550885,1330397,21969,3070776,0,3417240,13870973,3697067,840910,28800217,19955120004.6604
"23","BLR","Belarus",41297113,7810048,4120,10654247,0,5973909,30339932,12032129,5353600,113465098,61489588894.8211
"24","BLZ","Belize",710758,70563,640,31022,2744751,192,236000,219703,280084,4293713,1585631670.3461
"25","BMU","Bermuda",106,115050,0,46545,9979761,11284,504000,276196,23744,10956686,6881662000
"26","BOL","Bolivia (Plurinational State of)",26800662,6114420,23963,3412821,22592,5548712,4174264,9054212,2561570,57713216,36629843806.0782
"27","BRA","Brazil",524216672,36669240,4161050,120441060,1546028,99684384,93884000,188834149,161120000,1230556583,1448565936739.56
"28","BRB","Barbados",53781,197833,2051,151754,1652890,77,828000,672304,150640,3709330,4689534961.75956
"29","BRN","Brunei Darussalam",429488,175321,766,548892,440913,1187281,2835684,1459471,146918,7224734,12005825769.5087
"30","BTN","Bhutan",514168,372896,9430,821529,0,21502,163114,191774,325080,2419493,2315436303.29988
"31","BWA","Botswana",2829569,355011,29590,870344,0,849700,4490935,2680052,616000,12721201,14930072799.0084
"32","CAF","Central African Republic",8680392,262754,121,94964,0,316400,70143,228823,878668,10532265,2326720920.59223
"33","CAN","Canada",72061250,114853874,1392457,95403457,2791658,250188098,77140000,134291998,21284200,769406992,1645423407568.36
"34","CHE","Switzerland",5801954,14269554,15164,8091228,383655,434350,3186808,20823537,439190,53445440,752248045730.11
"35","CHL","Chile",11578237,8596752,6825869,10299481,1261812,5431750,36916000,26979244,14921252,122810397,252727193710.018
"36","CHN","China",651700692,859927924,9011865,4575958471,35558118,1101955831,4718783800,859876074,817220000,13629992775,14687673892882
"37","CIV","Côte d'Ivoire",7706927,2581080,1350,3104632,0,5210690,3303070,3545539,4961600,30414888,61348579465.1016
"38","CMR","Cameroon",13904984,2484192,151,1551164,232469,406000,2576579,3170977,6599600,30926116,40804449726.0184
"39","COD","Democratic Republic of the Congo",9857974,6078158,1766255,0,144664,10052000,49000,1947787,21308000,51203838,48716960860.0664
"40","COG","Congo",4841119,462069,23586,465952,0,1175537,2096562,1328166,1135657,11528648,10483151093.6873
"41","COL","Colombia",65003775,12049840,28208,18934044,27864,17988036,15382000,34703636,27653800,191771203,270299982887.01
"42","COM","Comoros",322801,68891,155,55011,667195,70000,85000,157080,298200,1724333,1223876064.52345
"43","CPV","Cabo Verde",94358,128496,205,165354,58959,1336,352000,592156,108080,1500944,1703698676.69742
"44","CRI","Costa Rica",4380743,646364,3735,1548426,0,625784,202000,6233271,2464840,16105163,62158002233.0279
"45","CUB","Cuba",11791819,3108416,8137,11145849,27886,870269,11897000,1957498,6748479,47555353,1.07352e+11
"46","CUW","Curaçao",67,0,0,0,291073,3924480,613000,148765,0,4977385,2496174735.64702
"47","CYM","Cayman Islands",0,81804,0,35160,3565818,0,572000,259877,24640,4539299,5608989195.5292
"48","CYP","Cyprus",378172,844861,5354,1513274,21023979,7420,2970000,2389292,633416,29765768,24692095945.1742
"49","CZE","Czechia",6036056,17239335,52720,17810204,0,4217504,47578252,18954080,4977980,116866131,245339322066.759
"50","DEU","Germany",65728779,144685930,275683,133863704,8355546,38258777,242259720,186594730,17345600,837368469,3846413928653.71
"51","DJI","Djibouti",692380,152127,748,234179,47139,303191,63195,519259,516320,2528538,3181071153.6622
"52","DMA","Dominica",36496,28768,50,16287,232760,60,85867,74177,33236,507701,504214814.814815
"53","DNK","Denmark",11027971,5095147,15789,5596968,22864533,1270132,8348760,12748446,1130477,68098223,356084867685.639
"54","DOM","Dominican Republic",9313741,2054336,8958,5608708,0,592489,11101845,7992876,6468440,43141393,78844702329.0785
"55","DZA","Algeria",11578455,27249658,97162,25841289,455958,81920699,41634720,46011348,19434645,254223934,145009181490.62
