sector,indicator,country,year,variable,value,unit
Agriculture,Agriculture activity (meat): consumption,ID,2020,projected_current_policy_min,76.64,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ID,2025,projected_current_policy_min,81.11,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ID,2020,projected_current_policy_max,76.64,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ID,2025,projected_current_policy_max,81.11,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,ID,2020,projected_current_policy_min,0.0393,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,ID,2025,projected_current_policy_min,0.0409,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,ID,2020,projected_current_policy_max,0.0393,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,ID,2025,projected_current_policy_max,0.0409,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2020,projected_current_policy_min,521.65,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2025,projected_current_policy_min,521.97,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2020,projected_current_policy_max,521.65,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2025,projected_current_policy_max,521.97,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,AU,2020,projected_current_policy_min,0.588,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,AU,2025,projected_current_policy_min,0.594,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,AU,2020,projected_current_policy_max,0.588,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,AU,2025,projected_current_policy_max,0.594,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2020,projected_current_policy_min,362.19,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2025,projected_current_policy_min,361.67,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2020,projected_current_policy_max,362.19,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2025,projected_current_policy_max,361.67,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,CA,2020,projected_current_policy_min,0.3719,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,CA,2025,projected_current_policy_min,0.3689,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,CA,2020,projected_current_policy_max,0.3719,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,CA,2025,projected_current_policy_max,0.3689,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,ZA,2020,projected_current_policy_min,317.51,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ZA,2025,projected_current_policy_min,318.27,meat kcal / cap / day
