Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Andorra,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Australia,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2050,LTS,Quantified Long-term Emissions Goal
Austria,Overview,Summary of Commitment,,,lts_target,Climate neutrality by no later than 2050,LTS,Quantified Long-term Emissions Goal
Belgium,Overview,Summary of Commitment,,,lts_target,"Belgium’s LTS is composed of three separate regional strategies (Walloon, Flemish, and Bruxelles-Capitale), which collectively cover the entire party’s emissions profile. The Walloon strategy “aims to achieve carbon neutrality by 2050”; the Flemish strategy “aims to reduce greenhouse gas emissions from sectors not covered by ETS (so-called non-ETS sectors) by 85% [from a 2005 baseline] by 2050, with the ambition to evolve towards total climate neutrality”; and the Bruxelles-Capitale [strategy] aims to “[get] closer [to] the European objective of carbon neutrality by 2050.”",LTS,Quantified Long-term Emissions Goal
Benin,Overview,Summary of Commitment,,,lts_target,Avoidance of at least 12 MtCO2e and sequestration of 163 MtCO2e by 2030,LTS,Quantified Long-term Emissions Goal
Cambodia,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Canada,Overview,Summary of Commitment,,,lts_target,80% reduction from 2005 levels by 2050,LTS,Quantified Long-term Emissions Goal
Chile,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
China,Overview,Summary of Commitment,,,lts_target,Carbon neutrality before 2060,LTS,Quantified Long-term Emissions Goal
Colombia,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Costa Rica,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2050,LTS,Quantified Long-term Emissions Goal
Czech Republic,Overview,Summary of Commitment,,,lts_target,"80% reduction from 1990 levels, equivalent to 39.1 MtCO2e by 2050",LTS,Quantified Long-term Emissions Goal
Denmark,Overview,Summary of Commitment,,,lts_target,Climate neutrality by no later than 2050,LTS,Quantified Long-term Emissions Goal
European Union (27),Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Fiji,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2050,LTS,Quantified Long-term Emissions Goal
Finland,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2035 and net-negative emissions thereafter,LTS,Quantified Long-term Emissions Goal
