"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXENV","TOT","PC_GDP","A","2020",0.56,
"AUT","TAXENV","TOT","PC_GDP","A","2020",2.1,
"BEL","TAXENV","TOT","PC_GDP","A","2020",2.01,
"CZE","TAXENV","TOT","PC_GDP","A","2020",2.28,
"DNK","TAXENV","TOT","PC_GDP","A","2020",3.17,
"FIN","TAXENV","TOT","PC_GDP","A","2020",2.73,
"FRA","TAXENV","TOT","PC_GDP","A","2020",2.38,
"DEU","TAXENV","TOT","PC_GDP","A","2020",1.71,
"GRC","TAXENV","TOT","PC_GDP","A","2020",3.77,
"HUN","TAXENV","TOT","PC_GDP","A","2020",2.46,
"ISL","TAXENV","TOT","PC_GDP","A","2020",1.82,
"IRL","TAXENV","TOT","PC_GDP","A","2020",1.2,
"ITA","TAXENV","TOT","PC_GDP","A","2020",3.08,
"JPN","TAXENV","TOT","PC_GDP","A","2020",1.25,
"LUX","TAXENV","TOT","PC_GDP","A","2020",1.41,
"MEX","TAXENV","TOT","PC_GDP","A","2020",1.43,
"NLD","TAXENV","TOT","PC_GDP","A","2020",3.55,
"NZL","TAXENV","TOT","PC_GDP","A","2020",1.07,
"NOR","TAXENV","TOT","PC_GDP","A","2020",1.98,
"POL","TAXENV","TOT","PC_GDP","A","2020",2.41,
"PRT","TAXENV","TOT","PC_GDP","A","2020",2.38,
"SVK","TAXENV","TOT","PC_GDP","A","2020",1.9,
"ESP","TAXENV","TOT","PC_GDP","A","2020",1.75,
"SWE","TAXENV","TOT","PC_GDP","A","2020",2.07,
"CHE","TAXENV","TOT","PC_GDP","A","2020",1.37,
"TUR","TAXENV","TOT","PC_GDP","A","2020",2.63,
"GBR","TAXENV","TOT","PC_GDP","A","2020",2.03,
"USA","TAXENV","TOT","PC_GDP","A","2020",0.66,
"ARG","TAXENV","TOT","PC_GDP","A","2020",1.75,
"BOL","TAXENV","TOT","PC_GDP","A","2020",0.99,
"BRA","TAXENV","TOT","PC_GDP","A","2020",0.72,
"BGR","TAXENV","TOT","PC_GDP","A","2020",3.03,
"CHL","TAXENV","TOT","PC_GDP","A","2020",1.35,
"CHN","TAXENV","TOT","PC_GDP","A","2020",0.84,
"COL","TAXENV","TOT","PC_GDP","A","2020",0.56,
"HRV","TAXENV","TOT","PC_GDP","A","2020",3.91,
"CYP","TAXENV","TOT","PC_GDP","A","2020",2.48,
"DOM","TAXENV","TOT","PC_GDP","A","2020",1.38,
"ECU","TAXENV","TOT","PC_GDP","A","2020",0.27,
"SLV","TAXENV","TOT","PC_GDP","A","2020",0.46,
"EST","TAXENV","TOT","PC_GDP","A","2020",2.99,
"GTM","TAXENV","TOT","PC_GDP","A","2020",0.78,
"HND","TAXENV","TOT","PC_GDP","A","2020",2.04,
"JAM","TAXENV","TOT","PC_GDP","A","2020",0.7,
"KAZ","TAXENV","TOT","PC_GDP","A","2020",0.86,
"LVA","TAXENV","TOT","PC_GDP","A","2020",3.31,
"LTU","TAXENV","TOT","PC_GDP","A","2020",1.98,
"MYS","TAXENV","TOT","PC_GDP","A","2020",0.65,
"MLT","TAXENV","TOT","PC_GDP","A","2020",2.27,
"MUS","TAXENV","TOT","PC_GDP","A","2020",2.75,
"NIC","TAXENV","TOT","PC_GDP","A","2020",1.3,
"PAN","TAXENV","TOT","PC_GDP","A","2020",0.37,
"PRY","TAXENV","TOT","PC_GDP","A","2020",0.89,
"PER","TAXENV","TOT","PC_GDP","A","2020",0.5,
"PHL","TAXENV","TOT","PC_GDP","A","2020",0.96,
"ROU","TAXENV","TOT","PC_GDP","A","2020",1.59,
"SGP","TAXENV","TOT","PC_GDP","A","2020",0.25,
"SVN","TAXENV","TOT","PC_GDP","A","2020",3.61,
"TTO","TAXENV","TOT","PC_GDP","A","2020",0.16,
"URY","TAXENV","TOT","PC_GDP","A","2020",1.75,
"VEN","TAXENV","TOT","PC_GDP","A","2020",0,
"OECD","TAXENV","TOT","PC_GDP","A","2020",1.35,
"OECDE","TAXENV","TOT","PC_GDP","A","2020",2.27,
"FJI","TAXENV","TOT","PC_GDP","A","2020",0.39,
"MOZ","TAXENV","TOT","PC_GDP","A","2020",0,
"PNG","TAXENV","TOT","PC_GDP","A","2020",0.01,
"BTN","TAXENV","TOT","PC_GDP","A","2020",0.73,
"MNG","TAXENV","TOT","PC_GDP","A","2020",1.57,
"VNM","TAXENV","TOT","PC_GDP","A","2020",0.96,
"BGD","TAXENV","TOT","PC_GDP","A","2020",0.01,
"KHM","TAXENV","TOT","PC_GDP","A","2020",0,
"KGZ","TAXENV","TOT","PC_GDP","A","2020",0.13,
"PAK","TAXENV","TOT","PC_GDP","A","2020",1.2,
